dish_serial,dish_name
26_57518440528875520,木耳娃娃菜/黄豆芽
26_57522966333886464,西葫芦炒蛋/素鸡
26_57520121396203520,葱油芋头
26_57523617168232448,蘑菇肉片
26_60417649133359104,山药卷
26_60420148368117760,葱油广东菜心
26_60416170171437056,红烧带鱼
26_60418731704193024,包菜油付/绿豆芽
26_60419548653948928,西红柿炒蛋/葱油芋艿
26_60424338653974528,四季豆肉丝
26_60778850765901824,板栗烧猪脚
26_60787252510461952,雪菜毛豆/西葫芦炒蛋
26_60783536751382528,鱼香杏鲍菇肉丝
26_60786976424595456,红烧萝卜
26_60781465637621760,青椒水面筋
26_60788188049969152,青椒田藕
26_51414057911193600,卤鸭
26_60804092892680192,鸡米花
26_57537182121988096,蒜苗香干肉丝
26_61140837161111552,茄子长豆/青椒素鸡
26_61137457504194560,鱼香肉丝
26_61143330393821184,木耳娃娃菜
26_61145100864065536,花椒鸡腿
26_61135445588840448,酥鱼
26_60784255449567232,红烧萝卜/藕片
26_61506526787014656,莴笋山药/虎皮尖椒
26_61503148149313536,香菇鸭块
26_61502544706408448,鸟蛋烧肉
26_61503305590902784,胖干烧肉
26_61873794888896512,长豆香干肉丝
26_61871928213901312,青椒藕片
26_61866566047895552,肉沫茄子/西葫芦炒蛋
26_61863997825224704,鸭血豆腐
26_61886943620894720,包菜油付
26_62223311366656000,素鸡烧肉
26_62227258533875712,红烧油片
26_62228850888806400,雪菜蛋饺
26_62229591430926336,南瓜饼
26_62231607637053440,素烧鹅
26_62234647941222400,白萝卜/南瓜丝
26_62590508530274304,西红柿炒蛋/红烧茄子
26_62588017319219200,白菜油付
26_62591473291497472,虎皮青椒/雪菜毛豆
26_62595882977202176,长江豆肉丝/鱼香肉丝
26_62592231093178368,盐菜黄豆芽
26_62597593687003136,土豆片
26_62613763622309888,菜心
26_63677854537355264,培红菜蘑菇毛豆肉丝
26_63683371284434944,青韭南瓜丝
26_63684984489250816,水波蛋
26_64042191542161408,长江豆肉丝
26_64049736054870016,雪菜山药
26_64050994539008000,葱油芋头/红烧萝卜
26_64407596181884928,葱油金针菇
26_64409617773498368,番茄炒蛋/红烧萝卜
26_64416482125287424,肉末粉条
26_64773204853526528,冬瓜酿肉
26_64758697263501312,香菇鸡块
26_65134805129498624,西葫芦炒蛋
26_66221585450799104,酱肉
26_66575384572989440,虎皮蛋烧肉
26_66578080193449984,木耳花菜.
26_57153933495373824,香酥鸡排
26_66572251184631808,花椒鸭
26_51410054775181312,红烧茄子
