dish_serial,dish_name,unit_price,calories,carbohydrates,protein,fat,fiber,weight
26_48822604177477632,香酥鸭肉/椒盐虾,5.1,232.959375,10.35375,18.119062500000002,12.9421875,1.035375,51.76875
26_48824212403654656,酸辣藕丝/木耳莴笋,2.1,81.55862068965517,12.641724137931034,3.058563218390805,2.175229885057471,3.941666666666667,67.96551724137932
26_48825273109581824,大排/春卷,5.0,208.25777777777776,18.594444444444445,8.925333333333334,11.156666666666668,1.4875555555555555,74.37777777777778
26_48825909251280896,酸辣土豆丝,1.5081413210445467,46.67666666666666,10.305238095238096,1.2123809523809523,0.060937019969278035,1.091121351766513,60.61904761904762
26_48827102522380288,小黄鱼,5.772972972972973,0.0,0.0,0.0,0.0,0.0,60.527027027027025
26_48828324339912704,卤肉,5.8,158.47359735973598,3.1694719471947197,12.677887788778879,11.410099009900991,0.6338943894389438,63.38943894389439
26_48829126651547648,小炒,3.4,94.04867256637168,6.269911504424779,7.523893805309735,5.015929203539822,1.2539823008849555,62.69911504424779
26_48842303778983936,豆芽,1.4,20.46363636363636,4.024545454545454,2.183030303030303,0.13666666666666666,1.2275757575757575,68.21212121212122
26_49177902981451776,干菜长江豆,2.42,63.93882352941176,10.656470588235294,3.196941176470588,1.598470588235294,2.131294117647059,53.28235294117647
26_49180432411004928,鸡米花/辣子鸡,4.5,179.75877192982455,7.703947368421052,12.839912280701755,10.271929824561404,1.0271929824561403,51.35964912280702
26_49181446346248192,花椒排骨,5.110731707317073,214.41200750469045,3.3501876172607883,16.75093808630394,14.740825515947467,0.6700375234521576,67.00375234521576
26_49182898133274624,鱼香杏鲍菇炒肉,4.427449999999999,135.619,11.0961,9.246749999999999,6.1645,2.4658,61.645
26_49184534943633408,包菜粉丝,1.8938919925512103,72.71396648044693,14.542793296089386,1.6158659217877096,0.8079329608938548,1.6158659217877096,80.79329608938548
26_49186373130915840,醋溜鱼/宫保鸡丁,2.66,295.6219512195122,16.89268292682927,25.3390243902439,12.66951219512195,1.6892682926829268,84.46341463414635
26_49190051107704832,青椒水面筋/木耳西兰,2.8500000000000005,89.0808510638298,11.135106382978725,5.938723404255319,3.7117021276595743,2.9693617021276597,74.23404255319149
26_49192327952076800,青瓜花生米/青椒炒蛋,2.3,171.66760563380282,9.196478873239437,7.357183098591549,11.035774647887324,1.8392957746478873,61.309859154929576
26_49204770417807360,春卷/辣子鸡,4.5,298.6947368421053,18.668421052631583,23.335526315789473,16.801578947368423,1.8668421052631579,93.34210526315789
26_49541748875202560,木耳南瓜/青瓜炒蛋,2.3641975308641974,125.24444444444445,10.437037037037037,8.34962962962963,6.958024691358024,2.0874074074074076,69.58024691358025
26_49544546421444608,木耳花菜,2.1,18.680943396226414,3.459433962264151,1.3837735849056605,0.0,1.3837735849056605,69.18867924528301
26_49547847724568576,茭白榨菜肉丝/杏鲍菇,3.9,124.97142857142858,8.331428571428571,10.414285714285715,5.554285714285714,2.0828571428571427,69.42857142857143
26_49548530490150912,葱油炒鳊鱼,7.14,107.83261802575107,2.1566523605150216,12.939914163090128,5.75107296137339,0.0,71.88841201716738
26_49549292205117440,茄子长江豆/素烧鹅,2.96,124.51263157894738,13.834736842105263,4.150421052631579,6.917368421052632,3.458684210526316,69.17368421052632
26_49550117186965504,豆芽/木耳青菜,1.43,56.248695652173915,8.437304347826087,4.218652173913044,1.4062173913043479,2.8124347826086957,70.31086956521739
26_49550527234707456,葱油鸡,4.242599118942731,154.55506607929516,1.5455506607929514,15.455506607929514,9.273303964757709,0.0,77.27753303964758
26_49555257134551040,鸡排/椒盐排骨,4.62,219.96350364963504,9.427007299270073,15.711678832116789,12.569343065693431,1.256934306569343,62.846715328467155
26_49570510991921152,韭黄炒西葫芦,2.1,39.28888888888889,3.606666666666667,1.6177777777777778,2.4022222222222225,0.9711111111111111,46.22222222222222
26_49573069664161792,西葫芦/花菜,2.1,38.785714285714285,7.757142857142857,1.9385714285714286,0.3885714285714286,2.327142857142857,77.57142857142857
26_49903795932631040,葱油扇贝,7.258757062146892,114.22033898305085,3.8073446327683613,15.229378531073445,4.568813559322034,0.0,76.14689265536722
26_49905814495956992,茄子长豆/虎皮青椒,2.55,85.8468085106383,7.726099290780141,3.2193617021276597,5.150921985815603,2.575744680851064,71.53900709219859
26_49909032047218688,红烧肉/香菇鸡肉,4.3,245.36363636363637,7.667613636363637,19.16903409090909,15.335227272727273,1.5335227272727272,76.67613636363636
26_49912240417148928,韭黄肉丝/红烧大排,5.56,217.3206106870229,9.313740458015266,15.522900763358779,12.418320610687022,1.2418320610687024,62.091603053435115
26_49913839134838784,芹菜香干/青瓜凉皮,2.32,121.34322580645161,16.85322580645161,5.393032258064516,4.044774193548387,2.696516129032258,67.41290322580645
26_49914653857419264,木耳莴笋,2.39328,28.8424,5.883936,1.442192,0.17296,1.6150879999999999,57.6848
26_49915420467138560,牛肉,16.5725,113.6375,0.9091,11.818299999999999,7.2728,0.0,45.455
26_49916397656084480,雪菜毛豆/青椒面筋,2.76,105.03692307692307,12.837846153846154,4.6683076923076925,4.084769230769231,2.3341538461538462,58.353846153846156
26_49917049941659648,青菜/白菜油腐,1.5,95.97073170731707,4.798536585365854,6.398048780487804,5.59829268292683,2.399268292682927,79.97560975609755
26_49917743172030464,虎皮包/油爆虾,6.196078431372549,151.5843137254902,5.413725490196078,13.534313725490197,8.120588235294118,1.0827450980392157,54.13725490196079
26_51362407922143232,红烧子排,6.0,153.09426229508196,3.0618852459016392,12.247540983606557,9.185655737704918,0.0,61.23770491803279
26_51365959914622976,春卷/山药卷,4.5,105.87238095238095,13.474666666666666,2.4061904761904764,4.812380952380953,1.4437142857142857,48.12380952380953
26_51366669880266752,虎皮尖椒/家常豆腐,2.9,211.03703703703704,11.305555555555555,9.044444444444444,13.566666666666666,2.261111111111111,75.37037037037037
26_51367115072081920,西兰花/韭黄炒鸡蛋,2.59,138.2544,6.144640000000001,9.21696,7.6808000000000005,2.30424,76.808
26_51368186062442496,蘑菇肉片/椒盐虾,5.5,181.78560000000002,6.81696,15.90624,10.22544,1.70424,56.808
26_51368982778875904,酱爆茄子/土豆洋葱,2.5,135.225,15.250546875,3.380546875,7.6626562499999995,2.85484375,75.125
26_51410054775181312,红烧茄子,2.0,84.86197183098591,7.0718309859154935,2.121549295774648,5.657464788732394,1.4143661971830985,70.71830985915493
26_51414057911193600,卤鸭,4.6445137157107235,165.72568578553617,2.0715710723192022,13.810473815461346,11.738902743142145,0.0,69.05236907730674
26_51713064214597632,黄豆猪脚,4.604069767441861,137.49593023255812,4.341976744186047,14.473255813953488,7.236627906976744,1.447325581395349,72.36627906976744
26_51716651443425280,椒盐带鱼/油爆虾,6.2,180.75428571428571,5.648571428571429,15.816,10.167428571428571,0.5648571428571428,56.48571428571429
26_51718413919326208,香菇鸡肉/鱼香肉丝,4.0,188.8864864864865,12.142702702702701,16.864864864864863,8.095135135135134,2.0237837837837835,67.45945945945945
26_51720104274169856,鸭血豆腐/包菜粉丝,2.3,253.96610169491527,27.777542372881356,14.285593220338983,9.523728813559321,3.174576271186441,79.36440677966101
26_51721242000101376,雪菜素鸡/丝瓜毛豆子,2.5,135.80526315789473,11.317105263157895,9.053684210526315,6.035789473684211,3.7723684210526316,75.44736842105263
26_51722718197977088,木耳花菜/青韭炒蛋,2.5,115.27826086956522,5.1234782608695655,7.685217391304348,6.404347826086957,1.921304347826087,64.04347826086956
26_51726827219193856,芦笋牛柳/莴笋目鱼花,5.2,177.81960784313725,6.668235294117647,15.55921568627451,10.00235294117647,2.2227450980392156,55.568627450980394
26_51728015360659456,白菜油付/土豆丝,1.6,77.92987012987014,8.312727272727273,2.2725324675324674,4.6755844155844155,1.5586363636363636,64.94155844155844
26_52080884723093504,素包子,2.8,99.10714285714286,19.821428571428573,3.3035714285714284,1.3214285714285714,1.3214285714285714,66.07142857142857
26_52083150117015552,木耳炒蛋/水面筋,3.3,153.61568627450978,19.201960784313723,6.583529411764705,5.486274509803922,1.6458823529411764,54.86274509803921
26_52085560046653440,大排/糖醋里脊,4.914285714285714,174.0,11.185714285714285,12.428571428571429,9.321428571428571,0.6214285714285713,62.142857142857146
26_52086867788697600,黄鱼,5.75,68.45547008547008,0.0,14.678461538461537,0.8475213675213675,0.0,70.57264957264957
26_52087588835692544,酱鸭,4.792443064182194,165.42944099378883,1.8587577639751551,11.152546583850933,12.391718426501035,0.0,61.958592132505174
26_52088646337171456,藕片/芋头,2.4,70.488,16.1538,1.4686,0.1766,1.8796000000000002,58.74
26_52089599958323200,豆芽/青菜,1.564502617801047,23.97884816753927,4.632329842931937,1.744109947643979,0.10918848167539268,0.9807591623036649,54.49738219895288
26_52090573565333504,葱油娃娃菜/莴苣,2.2,31.897499999999997,4.394333333333334,1.7715,1.2763333333333333,1.4176666666666666,70.88333333333334
26_52091412858146816,盐水虾/卤肉,6.0,214.3448275862069,6.698275862068965,16.745689655172413,13.39655172413793,1.339655172413793,66.98275862068965
26_52093181633892352,鸡排/茭白肉丝,5.0,181.92786885245903,6.822295081967213,15.918688524590163,10.23344262295082,1.1370491803278688,56.85245901639344
26_52095219390353408,大排,5.3239562624254475,204.04324055666004,4.0808648111332015,16.323459244532806,12.242594433399601,0.0,81.61729622266401
26_52095537637363712,糖醋里脊,4.156446991404011,169.15472779369628,13.532378223495703,10.149283667621777,6.766189111747852,0.676618911174785,67.6618911174785
26_52444681157611520,酥鱼/椒盐虾,6.1,177.36,6.651,15.519,9.9765,1.1085,55.425
26_52445796284633088,春卷,4.51254295532646,118.51804123711341,14.222164948453607,3.7925773195876293,4.740721649484536,0.9481443298969073,47.40721649484536
